country	min	lowerq	median	upperq	max
AT	18	22	23	24	69
BE	18	21	21	22	68
BG	18	21	22	23	48
CH	18	22	23	24	49
CY	19	20	20	22	47
CZ	18	22	23	24	49
DE	18	22	23	24	55
DK	18	22	24	25	64
EE	18	21	22	24	47
ES	18	21	22	23	67
FI	17	22	23	25	61
FR	17	20	21	22	69
GR	18	21	22	23	58
HR	19	22	23	24	40
HU	18	21	23	24	50
IE	18	20	21	22	93
IS	20	23	24	26	56
IT	17	21	23	24	69
LI	19	23	26	30	37
LT	18	20	21	22	56
LU	18	21	22	23	47
LV	17	21	22	23	62
MT	18	19	20	22	60
NL	17	21	22	23	71
NO	19	22	23	25	69
PL	17	21	22	23	64
PT	18	21	22	23	58
RO	18	21	22	23	57
SE	19	22	23	25	50
SI	18	22	23	24	50
SK	19	22	22	23	55
TR	17	21	22	23	57
UK	17	20	21	21	68